Name of the frogs,Genus,Size,Habitat,Type Locality,Localities,Where to Look,Key Features,IUCN Status,Endemic/Non Endemic
Mysticellus franki,Microhyla ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon anamalaiensis,Mysticellus ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Anamalai Hills, Tamil Nadu, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon montanus,Uperodon ,3.5 - 4.5 cm,Forest streams in the Western Ghats,"Silent Valley National Park, Kerala, India",Western Ghats,"Near forest streams, especially during monsoon","Small size, brown with darker patches",Endangered,Endemic to the Western Ghats
Uperodon taprobanicus,Uperodon ,3.5 - 5.5 cm,"Lowland forests, grasslands, and agricultural areas",Sri Lanka,"Southern India, Sri Lanka","Near water bodies, in temporary pools, and paddy fields","Stout body, smooth skin, with brownish or yellowish coloration",Least Concern,Non Endemic
Uperodon triangularis,Uperodon ,5 - 6 cm,Moist lowland forests and subtropical or tropical moist montane forests,Not specified,Southern India,"Under leaf litter, near water bodies during monsoon","Triangular-shaped body, variable coloration",Least Concern,Endemic to Southern India
Uperodon variegatus,Uperodon ,4 - 5 cm,Dry forests and scrublands,Not specified,Central and Southern India,"Under logs, near water bodies during monsoon",Variegated coloration with dark and light patches,Least Concern,Endemic to India
Nasikabatrachus bhupathi,Uperodon ,6 - 7 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,"Underground, emerges during monsoon","Purple skin, pig-like snout",Endangered,Endemic to the Western Ghats
Nasikabatrachus sahyadrensis,Uperodon ,7 - 9 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,"Underground, emerges during monsoon","Purple skin, unique shape",Endangered,Endemic to the Western Ghats
Astrobatrachus kurichiyana,Nasikabatrachus,2 - 3 cm,Montane evergreen forests,"Kurichiyarmala, Kerala, India",Western Ghats,Leaf litter in forest floors,"Small size, orange coloration",Not Evaluated,Endemic to the Western Ghats
Nyctibatrachus acanthodermis,Nasikabatrachus,3 - 4 cm,Tropical moist lowland forests,"Agasthyamalai Hills, Kerala, India",Western Ghats,Near streams in dense forests,"Rough, spiny skin; brown coloration",Endangered,Endemic to the Western Ghats
Nyctibatrachus aliciae,Astrobatrachus ,4 - 5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in montane forests,Brown skin with smooth texture,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus anamallaiensis,Nyctibatrachus,3 - 4 cm,Montane forests,"Anamalai Hills, Tamil Nadu, India",Western Ghats,In leaf litter near streams,"Small size, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus athirappillyensis,Nyctibatrachus,4 - 5 cm,Evergreen forests,"Athirappilly, Kerala, India",Western Ghats,Near waterfalls and streams,"Robust body, dark brown color",Endangered,Endemic to the Western Ghats
Nyctibatrachus beddomii,Nyctibatrachus,4 - 5 cm,Subtropical or tropical moist lowland forests,"Western Ghats, India",Western Ghats,In forests near water bodies,"Small size, brown color with lighter underparts",Least Concern,Endemic to the Western Ghats
Nyctibatrachus danieli,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Maharashtra, India",Western Ghats,Near streams and water bodies in forests,"Brown skin, large eyes",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus dattatreyaensis,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near montane streams,"Dark brown skin, granular texture",Endangered,Endemic to the Western Ghats
Nyctibatrachus deccanensis,Nyctibatrachus,2.5 - 3.5 cm,Tropical moist lowland forests,"Deccan Plateau, India",Western Ghats,Forest floors near streams,"Small size, dark color",Near Threatened,Endemic to the Western Ghats
Nyctibatrachus gavi,Nyctibatrachus,3 - 4 cm,Montane forests,"Gavi, Kerala, India",Western Ghats,In dense forests near streams,"Small size, brown skin with lighter underparts",Endangered,Endemic to the Western Ghats
Nyctibatrachus grandis,Nyctibatrachus,5 - 6 cm,Montane forests,"Western Ghats, India",Western Ghats,Near water bodies in montane forests,"Large size, brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus humayuni,Nyctibatrachus,3 - 4 cm,Montane forests,"Matheran, Maharashtra, India",Western Ghats,Near small streams in montane forests,"Brown skin, slightly rough texture",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus indraneili,Nyctibatrachus,3 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams and forest floors,Brown skin with dark spots,Endangered,Endemic to the Western Ghats
Nyctibatrachus jog,Nyctibatrachus,3 - 4 cm,Montane forests,"Jog Falls, Karnataka, India",Western Ghats,Near streams in dense forests,"Small size, brown color with granular skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus karnatakaensis,Nyctibatrachus,3 - 4 cm,Evergreen forests,"Karnataka, India",Western Ghats,In evergreen forests near streams,"Brown color, rough skin",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus kempholeyensis,Nyctibatrachus,3.5 - 4.5 cm,Tropical moist lowland forests,"Kempuhole, Karnataka, India",Western Ghats,Near streams and water bodies,"Granular skin, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus kumbara,Nyctibatrachus,4 - 5 cm,Montane forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in montane forests,"Large size, brown skin with lighter underparts",Endangered,Endemic to the Western Ghats
Nyctibatrachus major,Nyctibatrachus,5 - 6 cm,Montane forests,"Western Ghats, India",Western Ghats,Near water bodies in montane regions,"Large size, dark brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus manalari,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Manalar, Tamil Nadu, India",Western Ghats,Near streams in dense forests,"Brown skin, granular texture",Endangered,Endemic to the Western Ghats
Nyctibatrachus mewasinghi,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in montane regions,"Brown color, slightly rough skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus minimus,Nyctibatrachus,1 - 2 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,In leaf litter near streams,"Extremely small size, brown color",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus petraeus,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,On wet rocks near streams,Brown with a rough texture,Endangered,Endemic to the Western Ghats
Nyctibatrachus poocha,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,In dense forests near water bodies,Brown with granular skin,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus pulivijayani,Nyctibatrachus,3.5 - 4.5 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,"Granular skin, brown color",Endangered,Endemic to the Western Ghats
Nyctibatrachus radcliffei,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near streams and on wet rocks,Brown with rough skin,Vulnerable,Endemic to the Western Ghats
Nyctibatrachus robinmoorei,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Brown color with darker spots,Endangered,Endemic to the Western Ghats
Nyctibatrachus sabarimalai,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near streams in dense forests,Dark brown with warty skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus sanctipalustris,Nyctibatrachus,2 - 3 cm,Swampy areas in forests,"Western Ghats, India",Western Ghats,In swampy areas near forest streams,"Small size, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus shiradi,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,In leaf litter near streams,Brown with granular skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus sylvaticus,Nyctibatrachus,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and in leaf litter,Brown with rough skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus tunga,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, Karnataka, India",Western Ghats,In leaf litter near streams,"Brown with rough, warty skin",Endangered,Endemic to the Western Ghats
Nyctibatrachus vasanthi,Nyctibatrachus,2.5 - 3.5 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,In dense forests near water bodies,"Small size, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Nyctibatrachus vrijeuni,Nyctibatrachus,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Dark brown with warty skin,Endangered,Endemic to the Western Ghats
Nyctibatrachus webilla,Nyctibatrachus,2.5 - 3.5 cm,Montane forests,"Western Ghats, India",Western Ghats,In dense forests near water bodies,"Small size, brown with lighter underparts",Vulnerable,Endemic to the Western Ghats
Clinotarsus curtipes,Nyctibatrachus,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and ponds,Green with red spots on the limbs,Near Threatened,Endemic to the Western Ghats
Hylarana aurantiaca,Nyctibatrachus,4 - 6 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams and ponds,"Bright orange color, smooth skin",Endangered,Endemic to the Western Ghats
Hylarana bahuvistara,Nyctibatrachus,3.5 - 4.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams in dense forests,Brown with yellowish stripes,Vulnerable,Endemic to the Western Ghats
Hylarana caesari,Clinotarsus,4 - 5 cm,Lowland forests,"Western Ghats, India",Western Ghats,Near slow-moving streams,Olive green with brown spots,Near Threatened,Endemic to the Western Ghats
Hylarana doni,Hylarana,5 - 6 cm,Tropical moist forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near forest streams,Dark brown with a distinctive stripe,Endangered,Endemic to the Western Ghats
Hylarana flavescens,Hylarana,4 - 5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near slow-moving water bodies,Yellowish-brown with a smooth texture,Vulnerable,Endemic to the Western Ghats
Hylarana indica,Hylarana,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams and ponds in forests,Olive green with dark spots,Endangered,Endemic to the Western Ghats
Hylarana intermedia,Hylarana,4 - 5 cm,Tropical moist forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams,Brown with a yellowish underbelly,Vulnerable,Endemic to the Western Ghats
Hylarana magna,Hylarana,5 - 7 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near ponds and slow-moving streams,Dark brown with a smooth texture,Endangered,Endemic to the Western Ghats
Hylarana malabaricus,Hylarana,5 - 6 cm,Tropical moist forests,"Western Ghats, Kerala, India",Western Ghats,Near forest streams,Olive green with darker spots,Endangered,Endemic to the Western Ghats
Hylarana montana,Hylarana,4 - 5 cm,Montane forests,"Western Ghats, Tamil Nadu, India",Western Ghats,Near streams in montane forests,Brown with yellowish stripes,Vulnerable,Endemic to the Western Ghats
Hylarana sreeni,Hylarana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams,"Small size, brown with dark spots",Vulnerable,Endemic to the Western Ghats
Hylarana urbis,Hylarana,4 - 5 cm,Urban and semi-urban areas near water bodies,"Western Ghats, India",Western Ghats,"Near ponds, ditches, and slow-moving streams",Brown with lighter stripes along the body,Near Threatened,Endemic to the Western Ghats
Indirana beddomii,Hylarana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,"Near forest streams, especially during monsoon",Brown with a granular texture on the skin,Vulnerable,Endemic to the Western Ghats
Indirana bhadrai,Hylarana,3 - 4 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near streams in forested areas,"Small size, brown with distinct black spots",Endangered,Endemic to the Western Ghats
Indirana brachytarsus,Hylarana,2.5 - 3.5 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near slow-moving streams and forest floors,"Small size, brown with fine spots",Endangered,Endemic to the Western Ghats
Indirana chiravasi,Indirana,3 - 4 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near forest streams,Brown with a granular texture on the skin,Vulnerable,Endemic to the Western Ghats
Indirana duboisi,Indirana,4 - 5 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams,Brown with distinct black spots and rough skin,Endangered,Endemic to the Western Ghats
Indirana gundia,Indirana,3 - 4 cm,Tropical moist forests,"Western Ghats, Karnataka, India",Western Ghats,Near forest streams and marshy areas,Brown with a rough texture on the skin,Endangered,Endemic to the Western Ghats
Indirana leithii,Indirana,3.5 - 4.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near slow-moving streams,Brown with lighter stripes and a rough texture,Vulnerable,Endemic to the Western Ghats
Indirana longicrus,Indirana,3 - 4 cm,Montane forests,"Western Ghats, India",Western Ghats,Near forest streams and leaf litter,"Long limbs, brown with darker spots",Vulnerable,Endemic to the Western Ghats
Indirana paramakri,Indirana,2.5 - 3.5 cm,Tropical moist forests,"Western Ghats, India",Western Ghats,Near streams and forest floors,"Small size, brown with fine spotting",Endangered,Endemic to the Western Ghats
Indirana salelkari,Indirana,3.5 - 4.5 cm,Moist deciduous forests,"Western Ghats, Karnataka, India",Western Ghats,Near slow-moving streams,Brown with a granular texture,Endangered,Endemic to the Western Ghats
Indirana sarojamma,Indirana,4 - 5 cm,Montane forests,"Western Ghats, Kerala, India",Western Ghats,Near forest streams and leaf litter,Brown with darker patches,Vulnerable,Endemic to the Western Ghats
